Data_Hora,idTweet,Tweet,Candidato,Tweet_limpo
2022-07-30 23:21:19+00:00,1553521150050852864,"@CamiloSantanaCE @ricardostuckert @LulaOficial @elmanofreitaspt Percebemos muita duplicidade na foto; por que o PDT do candidato Ciro Gomes, bem colocado nas pesquisas, não apoia o candidato do PT? Ele já disse q não apoiará num provável 2o. turno o candidato desse partido esquerdista.",Ciro,"    percebemos muita duplicidade na foto; por que o pdt do candidato ciro gomes, bem colocado nas pesquisas, não apoia o candidato do pt? ele já disse q não apoiará num provável 2o. turno o candidato desse partido esquerdista."
2022-07-30 23:21:11+00:00,1553521116244852736,"@JanainaDoBrasil A maioria candidatos sem expressão, nânicos sem chance, os mais expressivos , Simone Tebet e Ciro Gomes, mais conhecidos como terceira via, tb não tem chance, é Bolsonaro 22",Ciro," a maioria candidatos sem expressão, nânicos sem chance, os mais expressivos , simone tebet e ciro gomes, mais conhecidos como terceira via, tb não tem chance, é bolsonaro 22"
2022-07-30 23:21:06+00:00,1553521092278603779,@Claudio03165029 @ThiagoResiste Concordo: Ciro Gomes e Lula daria uma boa disputa.,Ciro,  concordo: ciro gomes e lula daria uma boa disputa.
2022-07-30 23:21:03+00:00,1553521083063713795,@desmentindobozo @ciro_nogueira @BaixadorDeVideo,Ciro,  
2022-07-30 23:20:29+00:00,1553520940373274624,@xrpcooper @xrocketlaunch @Rick01807722 @ciro_sayago @legitt_mentor,Ciro,    
2022-07-30 23:20:28+00:00,1553520935222886437,Ciro Nogueira é vaiado em evento do PDT no Piauí https://t.co/3Wcn7vWYj5,Ciro,ciro nogueira é vaiado em evento do pdt no piauí .co/3wcn7vwyj5
2022-07-30 23:20:28+00:00,1553520933796716545,@ciro_cavs18 En unos años no tengo dudas. Brito es el nuevo Aguilar,Ciro, en unos años no tengo dudas. brito es el nuevo aguilar
2022-07-30 23:20:25+00:00,1553520923231195136,"@CiroGomezL @lopezobrador_ Son los vehículos que compraron tus brothers, sí, esos que mal gobernaron por años, despilfarraron el presupuesto en autos de lujo y en chayote para sus brothers…🤨 Cínico.",Ciro,"  son los vehículos que compraron tus brothers, sí, esos que mal gobernaron por años, despilfarraron el presupuesto en autos de lujo y en chayote para sus brothers…🤨 cínico."
2022-07-30 23:20:22+00:00,1553520910044434432,o cachorro desse gif eh a cara do ciro gomes como pode https://t.co/8na084bMdp,Ciro,o cachorro desse gif eh a cara do ciro gomes como pode .co/8na084bmdp
2022-07-30 23:19:53+00:00,1553520789089050625,"@cirogomes Concordo Ciro ser honesto não é nada fácil, más descansa, o Senhor dos Exércitos é contigo eu creio, numa reviravolta da parte deste que é Senhor de todas as coisas só confia o Deus e Pai Celestial está no controle, o que tiver de ser, será 👍",Ciro," concordo ciro ser honesto não é nada fácil, más descansa, o senhor dos exércitos é contigo eu creio, numa reviravolta da parte deste que é senhor de todas as coisas só confia o deus e pai celestial está no controle, o que tiver de ser, será 👍"
2022-07-30 23:19:49+00:00,1553520770625708035,@CristinaToline @desmentindobozo @ciro_nogueira https://t.co/FOSewXvrgk Votem,Ciro,   .co/fosewxvrgk votem
2022-07-30 23:19:31+00:00,1553520694679506946,Já pode chamar o ciro nogueira de comunista traído gado? https://t.co/XRoQduSYaP,Ciro,já pode chamar o ciro nogueira de comunista traído gado? .co/xroqdusyap
2022-07-30 23:19:25+00:00,1553520668980944897,"Tremendo comicio em Fortaleza. Uma multidão por Lula, @LulaOficial, e Elmano Freitas, @elmanofreitaspt. No estado de Ciro Gomes, uma resposta à altura de suas diatribes contra o PT e mais um tranco em Jair Bolsonaro. Outro passo adiante na caminhada da vitória. https://t.co/7w2UNMDSCl",Ciro,"tremendo comicio em fortaleza. uma multidão por lula,  e elmano freitas,  no estado de ciro gomes, uma resposta à altura de suas diatribes contra o pt e mais um tranco em jair bolsonaro. outro passo adiante na caminhada da vitória. .co/7w2unmdscl"
2022-07-30 23:19:21+00:00,1553520652107350016,"Data folha divulga nova pesquisa de intenção de votos.
57% Lula 🐙
42% Bolsonaro 🇧🇷
11% Ciro Gomes 🐟
8% Simone Tebet 🤮
6% Marina Silva 🦖
14% Brancos / nulos ⚪️
12% Indecisos ❓️❗️

A pesquisa entrevistou 1313 pessoas entre os dias 30 de fev. e 01 de abr.",Ciro,data folha divulga nova pesquisa de intenção de votos.57% lula 🐙42% bolsonaro 🇧🇷11% ciro gomes 🐟8% simone tebet 🤮6% marina silva 🦖14% brancos / nulos ⚪️12% indecisos ❓️❗️a pesquisa entrevistou 1313 pessoas entre os dias 30 de fev. e 01 de abr.
2022-07-30 23:19:18+00:00,1553520641114099713,"@revistaoeste Se não houver roubo nas urnas pode juntar Ciro, tablet e o que mais quiser ... Essa eleição pode dar merda para muito tempo a resolver.",Ciro," se não houver roubo nas urnas pode juntar ciro, tablet e o que mais quiser ... essa eleição pode dar merda para muito tempo a resolver."
2022-07-30 23:19:04+00:00,1553520583421427712,"Depois da bandeirinha do PT, vi pela primeira vez em Belém um carro com adesivo de apoio ao candidato Ciro Gomes. Estava escrito ""na rebeldia da esperança"".",Ciro,"depois da bandeirinha do pt, vi pela primeira vez em belém um carro com adesivo de apoio ao candidato ciro gomes. estava escrito ""na rebeldia da esperança""."
2022-07-30 23:18:58+00:00,1553520557383090177,"@guicacao Como o Ciro fará para o barril não ficar caro se a cotação é internacional, qual é o  plano?",Ciro," como o ciro fará para o barril não ficar caro se a cotação é internacional, qual é o  plano?"
2022-07-30 23:18:22+00:00,1553520404261736451,"Ciro Nogueira é vaiado em convenção do PDT no Piauí: “Fora bolsonarista, fora Bolsonaro!"" (vídeo) https://t.co/OUb5SwvuTx",Ciro,"ciro nogueira é vaiado em convenção do pdt no piauí: “fora bolsonarista, fora bolsonaro!"" (vídeo) .co/oub5swvutx"
2022-07-30 23:18:15+00:00,1553520376252088320,A debandada dos prefeitos do PDT no Ceará demonstra o isolamento e a fraqueza de Ciro por lá. Cid e Ivo devem ficar neutros. Os próprios prefeitos já falaram que Ciro e Roberto Cláudio não poderão usar seus nomes e nem eles subirão no palanque. O PDT praticamente morreu no Ceará.,Ciro,a debandada dos prefeitos do pdt no ceará demonstra o isolamento e a fraqueza de ciro por lá. cid e ivo devem ficar neutros. os próprios prefeitos já falaram que ciro e roberto cláudio não poderão usar seus nomes e nem eles subirão no palanque. o pdt praticamente morreu no ceará.
2022-07-30 23:17:55+00:00,1553520293154627585,@evenstarariel @cirogomes Se o povo está insatisfeito com imagina com estas raposas velhas que e ciro e Lula tudo um lixo igual Alkmin e moro Bivar janone,Ciro,  se o povo está insatisfeito com imagina com estas raposas velhas que e ciro e lula tudo um lixo igual alkmin e moro bivar janone
2022-07-30 23:17:51+00:00,1553520274456412162,"@desmentindobozo @ciro_nogueira Um presidente que abre a boca para dizer que não é responsabilidade dele gerar empregos, quem quiser que corra atrás, esperar o que mais.",Ciro,"  um presidente que abre a boca para dizer que não é responsabilidade dele gerar empregos, quem quiser que corra atrás, esperar o que mais."
2022-07-30 23:17:50+00:00,1553520273609179136,"@renancalheiros @LulaOficial Com a experiência eleitoral e política do sr, o Sr acha que Ciro mantém candidatura pra ajudar o Bolsonaro e só bate no Lula absolvendo o presidente pq lhe é eleitoralmente bom ou pqganha alguma coisa do miliciano caso esse venha a ser eleito?",Ciro,"  com a experiência eleitoral e política do sr, o sr acha que ciro mantém candidatura pra ajudar o bolsonaro e só bate no lula absolvendo o presidente pq lhe é eleitoralmente bom ou pqganha alguma coisa do miliciano caso esse venha a ser eleito?"
2022-07-30 23:17:49+00:00,1553520266654924802,"Se ele renunciasse já, Lula poderia ganhar no primeiro turno. Faça essa favor para gente, Ciro. https://t.co/3KW4oj0okW",Ciro,"se ele renunciasse já, lula poderia ganhar no primeiro turno. faça essa favor para gente, ciro. .co/3kw4oj0okw"
2022-07-30 23:17:46+00:00,1553520253463937026,Já saiu a toalha do Ciro Gomes hahaha https://t.co/4ko1N11xW8,Ciro,já saiu a toalha do ciro gomes hahaha .co/4ko1n11xw8
2022-07-30 23:17:19+00:00,1553520143346679808,"Agora se vocês acham que todos os candidatos tem que ser kamikaze e brigar com o PT pra apoiar o Ciro, vão em frente, vai dar certinho. +",Ciro,"agora se vocês acham que todos os candidatos tem que ser kamikaze e brigar com o pt pra apoiar o ciro, vão em frente, vai dar certinho. +"
